ID	Age	Sex	Valence	ValenceNum	Framing	FramingNum	emot_option_sure	emot_option_risk	risky_choice	valence_pre	excitation_pre	fear_pre	amusement_pre	sadness_pre	disgust_pre	anger_pre	joy_pre	valence_post	excitation_post	fear_post	amusement_post	sadness_post	disgust_post	anger_post	joy_post
80	36	male	Joy	1	Loss	1	5	3	1	5	1	1	5	1	1	1	6	5	1	1	6	1	1	1	7
81	26	female	Sad	2	Loss	1	3	3	1	4	1	5	5	5	5	5	5	3	3	5	5	6	5	5	5
82	19	female	Neutral	0	Gain	2	4	4	1	2	1	9	4	8	6	6	5	2	2	6	5	6	5	5	5
83	23	female	Joy	1	Gain	2	3	2	0	3	2	7	5	6	5	1	6	3	2	5	7	1	5	5	7
84	24	female	Sad	2	Gain	2	4	4	0	4	3	2	7	1	1	1	6	2	3	2	5	8	5	1	1
85	24	female	Neutral	0	Loss	1	2	1	0	4	2	1	5	1	1	1	7	5	2	1	4	1	1	1	7
86	36	female	Joy	1	Loss	1	3	5	1	3	3	9	2	5	5	2	2	5	5	1	9	1	1	1	9
87	21	female	Sad	2	Loss	1	3	3	1	4	3	6	6	3	5	3	6	2	4	5	2	8	5	2	4
88	35	male	Neutral	0	Gain	2	4	4	1	5	1	1	5	5	5	5	5	5	1	1	1	1	1	1	1
89	34	male	Joy	1	Gain	2	3	3	0	3	2	2	6	1	1	4	7	3	2	2	5	1	1	4	6
9	29	male	Sad	2	Loss	1	1	4	1	3	1	5	5	5	5	5	5	3	3	5	5	5	5	5	5
90	23	female	Sad	2	Gain	2	3	4	1	3	3	6	8	6	2	2	7	2	2	5	2	9	5	6	3
91	22	female	Neutral	0	Loss	1	3	2	0	5	1	1	8	1	1	1	8	4	1	1	1	2	3	1	5
92	24	female	Joy	1	Loss	1	2	3	0	4	4	1	7	1	1	2	7	2	5	3	2	6	2	2	2
93	21	female	Sad	2	Loss	1	1	2	1	4	3	1	6	1	1	1	8	3	3	1	5	6	2	2	5
94	23	male	Neutral	0	Gain	2	1	3	1	5	1	1	7	1	1	1	7	5	2	1	7	1	1	1	7
95	29	male	Joy	1	Gain	2	3	2	0	4	2	3	7	2	5	2	6	4	2	3	5	2	3	1	7
96	25	male	Sad	2	Gain	2	1	1	0	3	3	2	5	6	5	8	3	3	3	2	5	6	5	7	3
97	30	male	Neutral	0	Loss	1	1	2	0	1	2	6	5	8	1	3	1	1	2	6	5	8	2	4	1
98	24	male	Joy	1	Loss	1	3	2	0	3	1	2	6	7	2	1	7	4	3	2	7	3	1	1	8
99	25	female	Sad	2	Loss	1	3	5	1	4	2	3	7	1	1	1	7	1	2	2	1	9	1	1	1
13	25	female	Joy	1	Gain	2	4	4	1	3	4	7	5	4	1	1	6	4	3	8	8	5	1	1	5
14	18	female	Joy	1	Gain	2	2	2	0	3	3	1	7	1	1	1	7	5	1	1	9	1	1	1	9
15	18	female	Joy	1	Gain	2	3	2	0	3	4	8	5	7	1	2	6	4	3	5	7	4	1	1	9
18	20	female	Joy	1	Gain	2	3	2	0	3	2	3	5	3	5	5	6	3	3	5	5	5	5	5	7
19	18	female	Joy	1	Gain	2	4	3	0	3	3	1	5	1	1	1	5	3	3	1	5	1	1	1	5
21	27	female	Joy	1	Gain	2	4	4	0	4	1	1	3	3	1	1	4	5	5	1	9	1	1	1	9
4	20	female	Joy	1	Loss	1	2	2	1	3	2	1	1	3	1	1	4	4	1	1	1	2	1	1	6
5	18	female	Joy	1	Loss	1	2	2	0	3	2	7	5	1	3	1	5	4	2	1	5	1	1	1	5
6	21	male	Joy	1	Loss	1	1	2	0	2	2	6	3	1	1	1	4	3	2	4	5	1	1	1	6
7	18	female	Joy	1	Loss	1	2	3	0	4	2	3	4	3	2	1	7	4	2	1	8	2	1	1	7
